movie_id,title,genre,rating,status,poster_image_url
67,Cross-Group Solution-Oriented Core,Comedy,PG-13,Ended,/posters/movie_67.jpg
68,Inverse Content-Based Website,Horror,PG,Now Showing,/posters/movie_68.jpg
69,Reverse-Engineered Dedicated Synergy,Action,PG-13,Coming Soon,/posters/movie_69.jpg
70,Customizable Asymmetric Groupware,Sci-Fi,R,Ended,/posters/movie_70.jpg
71,Phased Client-Server Analyzer,Comedy,G,Ended,/posters/movie_71.jpg
72,Streamlined Real-Time Graphical User Interface,Horror,PG-13,Ended,/posters/movie_72.jpg
73,Configurable 24/7 Analyzer,Horror,PG-13,Coming Soon,/posters/movie_73.jpg
74,Expanded Contextually-Based Contingency,Comedy,R,Now Showing,/posters/movie_74.jpg
75,Cloned Multi-State Support,Drama,PG,Ended,/posters/movie_75.jpg
76,Reactive Clear-Thinking Leverage,Horror,PG,Now Showing,/posters/movie_76.jpg
77,Profound Leadingedge Firmware,Sci-Fi,R,Ended,/posters/movie_77.jpg
78,Operative Leadingedge Portal,Sci-Fi,R,Now Showing,/posters/movie_78.jpg
79,Mandatory 5Thgeneration Application,Comedy,R,Ended,/posters/movie_79.jpg
80,Profit-Focused Eco-Centric Functionalities,Horror,PG-13,Coming Soon,/posters/movie_80.jpg
81,Operative Radical Ability,Action,PG-13,Coming Soon,/posters/movie_81.jpg
82,Expanded Tertiary Complexity,Horror,PG,Coming Soon,/posters/movie_82.jpg
83,Realigned Responsive Application,Comedy,PG-13,Now Showing,/posters/movie_83.jpg
84,Front-Line Optimizing Projection,Drama,PG-13,Now Showing,/posters/movie_84.jpg
85,Customer-Focused Clear-Thinking Neural-Net,Horror,R,Coming Soon,/posters/movie_85.jpg
86,Cross-Group Incremental Intranet,Comedy,G,Coming Soon,/posters/movie_86.jpg
87,Future-Proofed Incremental Challenge,Drama,G,Now Showing,/posters/movie_87.jpg
88,Profit-Focused Static Parallelism,Drama,PG-13,Now Showing,/posters/movie_88.jpg
89,Self-Enabling Client-Server Encoding,Sci-Fi,PG-13,Coming Soon,/posters/movie_89.jpg
90,Stand-Alone Dedicated Secured Line,Sci-Fi,R,Ended,/posters/movie_90.jpg
91,Function-Based Tertiary Open System,Horror,R,Ended,/posters/movie_91.jpg
92,Centralized Content-Based Software,Sci-Fi,PG-13,Ended,/posters/movie_92.jpg
93,Inverse Context-Sensitive Frame,Horror,PG,Coming Soon,/posters/movie_93.jpg
94,Reverse-Engineered Content-Based Extranet,Comedy,PG-13,Ended,/posters/movie_94.jpg
95,Pre-Emptive Asymmetric Conglomeration,Drama,G,Ended,/posters/movie_95.jpg
96,Synchronized Impactful Knowledge User,Comedy,PG-13,Now Showing,/posters/movie_96.jpg
97,Fundamental Impactful Success,Comedy,PG-13,Coming Soon,/posters/movie_97.jpg
98,Face-To-Face Multi-Tasking Knowledge User,Horror,G,Now Showing,/posters/movie_98.jpg
99,Cross-Platform Fresh-Thinking Instruction Set,Drama,PG-13,Now Showing,/posters/movie_99.jpg
100,Self-Enabling Actuating Help-Desk,Drama,PG,Now Showing,/posters/movie_100.jpg
